6072047 UI: 税率設定を折りたたみ式に変更
31db48c chore: ローカルDB更新
367ffa6 fix: チーム管理をMasterDataに永続保存するように修正
5119643 chore: ローカルDB更新
081eca7 fix: 税率設定保存後にロック状態に戻す + チーム追加にデバッグログ追加
3865292 chore: ローカルDB更新
822160e fix: チーム追加と税率設定の動作を修正
9467741 fix: チーム追加ボタンのクリックイベントを修正
2d9e7b9 chore: ローカルDB更新
7157cd2 feat: 税率設定にパスワード保護を追加
2cd05c9 fix: PDF出力時の源泉徴収率取得を修正
c037a22 時間管理システム: 源泉徴収機能追加 + UI復元
351b765 v3.3.1: 考課表モーダルのモバイル対応改善
400f3b1 v3.3.0: 給与・勤怠管理のファイル表示をDB永続化対応（デバイス間同期）
997f294 v3.2.7: モバイルでタスクカードのドラッグを無効化
301decf v3.2.6: チーム別サマリーをデフォルトで閉じる設定に変更
9286db4 v3.2.5: タスク管理チェックリスト保存の説明文を追加
4e1988d v3.2.4: FileモデルのupdatedAtフィールド削除（存在しないフィールド）
14d5159 v3.2.3: Browserless.io接続パラメータ修正
48b9f54 v3.2.2: Browserless.ioタイムアウト延長・PDF生成高速化
